name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level,ID_Kelurahan 
Pempek Holis,"Blok C5 No, Jalan Taman Holis Indah I No.18, Cigondewah Rahayu",-6.9482171,107.5631271,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.7.5_1
RM Manggis Chinese Food Since 1999,"Taman Holis Indah 1 Blok C4 No.11, Cigondewah Rahayu",-6.9474466,107.5631131,OPERATIONAL,4.8,146,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.7.5_1
Nasi Kuning Mas Danu,"3H27+W4R, Jalan Taman Holis Indah I, Cigondewah Rahayu",-6.9476362,107.562764,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.7.5_1
Kedai Ayam Rahayu,"3H27+MMC, Jalan Cigondewah Kidul, Cigondewah Rahayu",-6.9483005,107.5641297,OPERATIONAL,4,2,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.7.5_1
Nasi Goreng Pendawa,"Jalan Cigondewah Rahayu No.123, RT.04/RW.04, Cigondewah Rahayu",-6.9478739,107.5644109,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.7.5_1
Fanpao FanFan Bapao,Jalan Taman Holis Indah Blok C3 No.10,-6.9473117,107.5627344,OPERATIONAL,4.8,4,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.7.5_1
Kedai Liem Kim,"Jalan Taman Holis Indah Blok C5 No.63, Cigondewah Rahayu",-6.9485734,107.562644,OPERATIONAL,5,55,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.7.5_1
Kedai Kopi O'gutt,"Jalan Taman Holis Indah No.20 No.C2, Cigondewah Rahayu",-6.9476382,107.5623721,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.7.5_1
Jl.cigindewah rahayu,"3H37+4RJ, Jalan Cigondewah Rahayu, Cigondewah Rahayu",-6.9471746,107.5645251,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.7.5_1
Nasi kuning seruni,"3H37+4RJ, Jalan Cigondewah Rahayu, Cigondewah Rahayu",-6.9471746,107.5645251,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.7.5_1
Hao De (Bagan Food),Jalan Taman Holis Indah 1 Blok C2 No.51,-6.9479486,107.5620705,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.7.5_1
Selaras Guest House & Restaurant,"Jalan Tm. Cibeunying Selatan No.45, Cihapit",-6.9047625,107.6237432,OPERATIONAL,4.5,1101,"lodging, restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.8.1_1
Mang Kabayan,"Jl. Sunda No.24 Kebon Pisang Sumurbandung Bandung Jawa Barat, Cihapit",-6.9099498,107.625137,OPERATIONAL,4.8,11,"restaurant, food, point_of_interest, establishment",2,IDN.9.14.8.1_1
Sate Taichan Bengawan,"Jalan Taman Cibeunying No.05, Cihapit",-6.9081362,107.6263179,OPERATIONAL,4.6,1900,"restaurant, food, point_of_interest, establishment",2,IDN.9.14.8.1_1
"Bakmi Jawa ""Plengkung Gading"" ( Bakmi PG )","Jalan Cendana No.7, Cihapit",-6.908917,107.6280875,OPERATIONAL,4.4,1056,"restaurant, food, point_of_interest, establishment",2,IDN.9.14.8.1_1
Cozy Cube Coffee,"3JVG+7CW, Jalan Taman Cibeunying Utara No.4, Cihapit",-6.906805,107.6259766,OPERATIONAL,4.5,1411,"cafe, store, restaurant, food, point_of_interest, establishment",2,IDN.9.14.8.1_1
DOUBLESTEAK Bengawan,"Jalan Bengawan No.79, Cihapit",-6.9063,107.6264699,OPERATIONAL,4.2,1187,"restaurant, food, point_of_interest, establishment",2,IDN.9.14.8.1_1
Dapoer Heritage by Dapoer Penyet,"Jalan Lapangan Supratman No.1, Cihapit",-6.907869,107.629019,OPERATIONAL,4.7,930,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.8.1_1
Shabu Hachi Cilaki Bandung,"Jalan Cilaki No.41, Cihapit",-6.9054096,107.6270496,OPERATIONAL,4.8,12021,"restaurant, food, point_of_interest, establishment",3,IDN.9.14.8.1_1
Rumah Makan Boemi Mitoha,"Jalan Ciliwung No.15, Cihapit",-6.905508,107.626144,OPERATIONAL,4.6,7540,"restaurant, food, point_of_interest, establishment",2,IDN.9.14.8.1_1
Beurgeur Burger,"Jalan Ciliwung No.2, Cihapit",-6.9052199,107.6223925,CLOSED_TEMPORARILY,4.7,94,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.8.1_1
Bellamie Boulangerie,"Jalan Cihapit No.35, Cihapit",-6.9068959,107.6237194,OPERATIONAL,4.6,7757,"cafe, bakery, store, restaurant, food, point_of_interest, establishment",2,IDN.9.14.8.1_1
Lomie Ciliwung,"3JWH+57P, Jalan Ciliwung, Cihapit",-6.9045418,107.628216,OPERATIONAL,4.7,984,"restaurant, food, point_of_interest, establishment",1,IDN.9.14.8.1_1
Mom's Chicken,"Jalan Anggrek No.55, Cihapit",-6.9106586,107.6301488,OPERATIONAL,4.6,7,"restaurant, food, point_of_interest, establishment",2,IDN.9.14.8.1_1
Bakso Malang Mas Joko,"Jalan Anggrek No.45, Cihapit",-6.9116372,107.6293957,OPERATIONAL,4.4,154,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.8.1_1
Cafe Riung Panyileukan,"Jalan Tm. Cibeunying Selatan No.37, Cihapit",-6.9053753,107.6239774,OPERATIONAL,4.5,686,"restaurant, food, point_of_interest, establishment",2,IDN.9.14.8.1_1
Bebek Goreng H.Slamet,"Jalan Supratman No.45, Cihapit",-6.9035616,107.6276396,OPERATIONAL,4.3,690,"restaurant, food, point_of_interest, establishment",2,IDN.9.14.8.1_1
Roemah Nenek,"Jalan Tm. Cibeunying Selatan No.47, Cihapit",-6.9045214,107.623558,OPERATIONAL,4.3,2294,"cafe, restaurant, food, point_of_interest, establishment",2,IDN.9.14.8.1_1
"Ayam Goreng Hanoman ""Bude Wati""","No, Jalan Muararajeun Kulon No.7, Cihaur Geulis",-6.9021406,107.6283304,OPERATIONAL,3.8,9,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.13.2_1
Morning Glory At Rooftop Mitra Hotel Bandung,"Jalan Supratman No.98, Cihaur Geulis",-6.9018965,107.6272481,OPERATIONAL,4.5,1170,"restaurant, food, point_of_interest, establishment",2,IDN.9.14.13.2_1
Seafood Kiloan Bang Bopak ( Pusat Katamso ),"Jalan Brigadir Jendral Katamso No.33, Cihaur Geulis",-6.9041007,107.631778,OPERATIONAL,4.2,2635,"restaurant, food, point_of_interest, establishment",2,IDN.9.14.13.2_1
Sambel Hejo Natuna,"Jalan Brigadir Jendral Katamso No.49, Cihaur Geulis",-6.9033116,107.6324075,OPERATIONAL,4.4,1509,"restaurant, food, point_of_interest, establishment",2,IDN.9.14.13.2_1
Ayam Penyet & Ayam Bakar Cijagra,"Jalan Cijagra Gang I No.24, Cijagra",-6.9446746,107.6257588,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.22.2_1
Pick Snack,"Jalan Cijagra Gang I No.17, Cijagra",-6.9447702,107.6257754,OPERATIONAL,5,5,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.22.2_1
Ayam Geprek Khosan,"3J3G+X4Q, Cijagra",-6.9450466,107.6253557,OPERATIONAL,4,5,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.22.2_1
Baso Tahu,"Jalan Cijagra 1 C No.11, Cijagra",-6.943304,107.6254629,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.22.2_1
Pisang Nugget DJ,"Jalan Cijagra 1A, Cijagra",-6.9449441,107.6259004,OPERATIONAL,4.5,19,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.22.2_1
Mie Ayam Baso Pedo,"Kantin Bikasoga, His Balai Sartika Convention Hall, Jalan Suryalaya Indah No.1-3, Cijagra",-6.9432565,107.6250348,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.22.2_1
Warung Cm,"Jalan Cijawura Hilir No.386C, Cijaura",-6.9645487,107.6565407,OPERATIONAL,4.2,5,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.12.1_1
Tan's Durian & Frozen Food,"2MR2+FC3, Cijaura",-6.9588609,107.6510509,OPERATIONAL,4,5,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.12.1_1
Ikan Bakar Sambal Pesisir Cabang ciwastra,"Jalan Kencanawangi Utr II No.7, Cijaura",-6.9589781,107.651522,CLOSED_TEMPORARILY,5,11,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.12.1_1
Ketoprak Khas Jakarta Christy (Christy Baking),"Jalan Kencanawangi Utara No.16, Cijaura",-6.9587543,107.651879,OPERATIONAL,4.4,7,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.12.1_1
Nasi Arabic Ummu Asyam,"Jalan Kencana Asri No.20 Blok F, Cijaura",-6.9599732,107.6511629,OPERATIONAL,5,58,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.12.1_1
Sop Kaki Sapi Rins Food,"Jalan Marga Asri 4 No.19, Cijaura",-6.958379,107.6524945,CLOSED_TEMPORARILY,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.12.1_1
Salamina Kopi,"Jalan Kencana Wangi I No.34-A, Cijaura",-6.959589,107.652325,OPERATIONAL,5,8,"cafe, store, restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.12.1_1
Mamba Kitchen,Jalan Kencana Wangi I No.123,-6.959633,107.6524943,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.12.1_1
Pakee Nasii Street Food,"Jalan Lengkong Kecil no 24, Jalan Marga Asri No.52, Cijaura",-6.9591374,107.6527421,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.12.1_1
Kedai Sawah,"2MV2+43P, Jalan Hj. Ratnamah II, Cijaura",-6.9571569,107.6502119,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.12.1_1
"Mango sr, seblak cireng maknyuus","Komp jakapurwa c46 jl jakamulya RT 003/005 Kel, Kujangsari",-6.9606928,107.6501298,CLOSED_TEMPORARILY,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.12.1_1
Ayam dan Ikan Coco,"2MR3+26M, Cijaura",-6.959904,107.6530608,OPERATIONAL,5,38,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.12.1_1
Balong Empire,Cijaura,-6.9592363,107.6533236,CLOSED_TEMPORARILY,5,5,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.12.1_1
kedai bu ginonk's,"Jalan Margawangi II No.74, Cijaura",-6.9607787,107.6522406,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.12.1_1
Dapur M,"Jalan Margawangi II No.72, Cijaura",-6.960934,107.6522751,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.12.1_1
JASHA,"Jalan Batu Permata No.21, Cijaura",-6.9588036,107.6483741,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.12.1_1
Nasi Goreng Bistik HALA77,Jalan Marga Asri II No.2,-6.9568521,107.6528339,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.12.1_1
Bakmi SC,"Jalan Margawangi I No.90, Cijaura",-6.9614635,107.6518576,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.12.1_1
Pizza Hut Delivery - PHD Indonesia,"Ruko Melong Nirwana.132, Jalan Melong Asih No.66, Cijerah",-6.9193151,107.5665479,OPERATIONAL,4.5,1337,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",2,IDN.9.14.7.6_1
Restorja cijerah,"Depan Masjid Alfitroh, Jalan Cijerah I, Cijerah",-6.9266534,107.5644414,OPERATIONAL,4.6,46,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.7.6_1
Selera Samudra,Jalan Melong Asih No.52A,-6.9194677,107.5673207,OPERATIONAL,5,24,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.7.6_1
Ayam Crisbar - Melong Asih Cijerah,"Jalan Melong Asih No.62, Cijerah",-6.91949,107.5667789,OPERATIONAL,4.8,1437,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.7.6_1
Geprek Gold Chick - Cijerah Melong Asih,"Jalan Melong Asih No.66A, Cijerah",-6.9193255,107.5665942,OPERATIONAL,1.9,34,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.7.6_1
Sambel Bakar Leha,"3HJ8+6JQ, Cijerah",-6.9194188,107.5666006,OPERATIONAL,4.5,2,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.7.6_1
Soto Madura Melong,"3HJ8+4MV, Jalan Melong Raya, Melong",-6.9196294,107.5666837,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.7.6_1
Woori Eumsik (Korean Food),"Jalan Melong Asih No.55, Cijerah",-6.9197819,107.5675182,OPERATIONAL,5,6,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.7.6_1
Cirawang simisdasem cijerah,"Jalan Melong Asih No.53, Cijerah",-6.9197852,107.5676496,OPERATIONAL,4,31,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.7.6_1
Rumah Makan Padang Sambalado Jaya,"Jalan Melong Asih No.53, Cijerah",-6.9197935,107.5676503,OPERATIONAL,4.8,17,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.7.6_1
Sate & Soto Ayam Cak Doel,"Jalan Melong Asih No.67b, Cijerah",-6.9196274,107.5664376,OPERATIONAL,4.7,3,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.7.6_1
Seblak Eduun Teh Rina,"Jalan Melong Asih No.36, Cijerah",-6.919605,107.568058,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.7.6_1
Oseng mercon X Angkringan Mang Jago,"3HJ9+34H, Jalan Melong Asih, no63b",-6.9198155,107.5678535,OPERATIONAL,4.9,13,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.7.6_1
Saung Steak Teman Bahagia,"Jalan Melong Asih No.68, Cijerah",-6.9192999,107.5661677,OPERATIONAL,4.3,20,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.7.6_1
Waroenk Steak 99,"Jalan Melong Asih Gang Manunggal IIC No.27, RT.7/RW.9, Cijerah",-6.9182641,107.5663306,OPERATIONAL,4.7,3,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.7.6_1
Ayam Kriuk Padasuka Bandung,"Jalan Melong Asih No.67C, Cijerah",-6.9196247,107.5663079,OPERATIONAL,4.2,160,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.7.6_1
Kuy! Steak - Melong Cijerah,"Jalan Melong Asih No.36, Cijerah",-6.9196832,107.5681043,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.7.6_1
PECEL LELE TANIA,"Jalan Melong Asih No.47, Cijerah",-6.9198429,107.5679401,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.7.6_1
aTe Coffee N Eatery,"Jalan Melong Asih No.67A, Cijerah",-6.9196194,107.5662908,OPERATIONAL,5,42,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.7.6_1
Pondok Pesanggrahan,"Jalan Lengkong Besar No.103, Cikawao",-6.9275838,107.6132599,OPERATIONAL,4.5,730,"restaurant, point_of_interest, food, establishment",2,IDN.9.14.22.3_1
Yes Ice Please (YIP Hauz),"Jalan Lengkong Besar No.37, Cikawao",-6.9238713,107.6118631,OPERATIONAL,4.6,385,"cafe, hair_care, store, health, restaurant, point_of_interest, food, establishment",1,IDN.9.14.22.3_1
Pepes bunita,"Jalan Melong No.22, Cikawao",-6.9292805,107.6153309,OPERATIONAL,4.6,19,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.22.3_1
INMONS SUPPLY CO,"Jalan Asep Berlian Gang Sartika No.38, Cikutra",-6.9077298,107.641006,OPERATIONAL,5,3,"clothing_store, store, restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.14.2_1
Nasi Bebek Madura Mas Agus,"Gang Sastrodihardjo II No.7, Cikutra",-6.9030919,107.6404381,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.14.2_1
Warung Bu Ali,Gang Sastrodihardjo V,-6.9029009,107.6395201,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.14.2_1
Dapur Sadiya,Gang Sastrodihardjo III No.9,-6.9023803,107.6397046,OPERATIONAL,4.5,4,"store, restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.14.2_1
Kedai Makan Ayam Geprek Suka-Suka,"Jalan Sukarajin 2, Gang Sastrodihardjo IV VI No.1",-6.9031722,107.6394802,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.14.2_1
Dapur Bu De,"3P34+C7Q, Jalan Cilameta, Cimenerang",-6.9463845,107.7056463,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.20.1_1
Warung Nasi Nd,"3P34+Q9W, Jalan Cimincrang, Cimenerang",-6.9455248,107.7059671,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.20.1_1
WARUNG NASI SUNDA,"3P34+F87, Jalan Cimincrang, Cimenerang",-6.9463265,107.7057947,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.20.1_1
Capuccino cincau seblak dan pop ice boba,"Jalan Cimincrang No.rt03 rw 05, Cimenerang",-6.9456284,107.7060439,OPERATIONAL,3,1,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.20.1_1
Bakso Monggo Mampir,"Jalan Cimincrang No.28, RT.01/RW.12, Cipadung Kidul",-6.9462431,107.7059182,OPERATIONAL,5,1,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.20.1_1
Nasi Goreng Roda Perintis,"Jalan Cimincrang No.28, RT.01/RW.12, Cipadung Kidul",-6.9463377,107.7058977,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.20.1_1
Warung Seblak Bu Enung,"3P34+RCF, Jalan Cimincrang, Cimenerang",-6.9454255,107.7060594,OPERATIONAL,Unknown,Unknown,"meal_takeaway, restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.20.1_1
Pempek Palembang 2121 Wong Kito,"3P44+36H, Jalan Cimincrang, Cimenerang",-6.9448074,107.7056141,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.20.1_1
Seblak Medina,"3P34+VCG, Jalan Cimincrang, Cimenerang",-6.9453335,107.7060902,OPERATIONAL,5,10,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.20.1_1
Kedai Sultan,"Jalan Cilameta, Cimenerang",-6.9455493,107.7038737,OPERATIONAL,4.8,43,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.20.1_1
Es Alpukat Kocok Champion,Jalan Cimincrang,-6.9467573,107.7058532,OPERATIONAL,5,1,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.20.1_1
Sop Iga Mandiri,"3P34+587, Cimenerang",-6.9470858,107.7058028,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.20.1_1
KOSAKO BURGER & HOTDOG,"Jalan Cimincrang RT.01/RW.04, Cimenerang",-6.9470342,107.7060784,OPERATIONAL,5,2,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.20.1_1
Mie Bakso Urat Karasa,"3P34+5F8, Jalan Cimincrang, Cimenerang",-6.9470988,107.7062142,OPERATIONAL,5,4,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.20.1_1
Rumah Makan Lesehan Ayam serundeng 15,"Gang Haji Wahab RT.001/RW.04, Cimenerang",-6.9474697,107.7057713,OPERATIONAL,5,1,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.20.1_1
Mie Baso Barokah Mas Joko Solo,"Jalan Cimincrang, Cimenerang",-6.94428,107.7063233,OPERATIONAL,4.5,66,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.20.1_1
Nasi Soto Ayam Mang Rudi,"3P56+QJR, Cipadung Kidul",-6.9405046,107.7115069,OPERATIONAL,3,1,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.24.1_1
Jawa Food 968 lesehan khas jogyakarta,"Jl.terusan panyileukan, Gang Darussalam bpr 2 No.31, Cipadung",-6.9422289,107.7123782,OPERATIONAL,4.8,42,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.24.1_1
Chiken krenchise,"3P57+6CW, Jl. Terusan Komplek Citra Biru, Mekarsari, RT.05/RW.09, Pasir Biru",-6.9418951,107.7135725,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.24.1_1
Rain District Cibiru,"Jalan Raya Panyileukan Komplek Bumi Panyileukan Blok D2 No.12, Cipadung Kidul",-6.9416617,107.7139722,OPERATIONAL,4.5,6,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.24.1_1
Doyan jajan,Jalan Raya Panyileukan g 8 no 5,-6.9418701,107.7138953,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.24.1_1
Baso Malang Mas Jay Panyileukan,"d2 no, Jalan Raya Panyileukan No.9, Cipadung Kidul",-6.9415508,107.7140582,OPERATIONAL,4.7,55,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.24.1_1
Mamalia susu murni dan Roti kukus panggang ijo kadet,"Jalan Raya Panyileukan No.3, Cipadung Kidul",-6.941329,107.7141328,OPERATIONAL,4.3,4,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.24.1_1
Kurmau Jus Kurma,"Komp. Bumi Panyileukan B6 No.6, Cipadung Kidul",-6.9401776,107.7139632,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.24.1_1
Es Goyobod Mangkok'o Panyileukan,"Sebelah Indomaret, Jl.Raya Komplek Bumi Panyileukan No.6 Blok D2, Cipadung Kidul",-6.9411313,107.7142196,OPERATIONAL,5,1,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.24.1_1
d'BestO Panyileukan,"3P57+GMQ, Jalan Raya Panyileukan, Cipadung Kidul",-6.9411706,107.7142293,OPERATIONAL,3,41,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.24.1_1
Sei sapi,"Komplek Bumi Panyileukan No.12, Cipadung Kidul",-6.9416322,107.7141341,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.24.1_1
AYAM GEPREK PANGHEGAR PANYILEUKAN,"3P57+8MR, Jalan Raya, Cipadung Kidul",-6.941647,107.7141342,OPERATIONAL,4.3,3,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.24.1_1
Kantin Saung Mangga,"Trs panyileukan kav p & K no 1b, Depan SD juara, RT.06/RW.01, Cipadung Kidul",-6.9393328,107.7116042,OPERATIONAL,5,8,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.24.1_1
"Baso goreng dan takoyaki ""Ci'Madam""",Jalan Pesantren Al-Mahabbah,-6.9399902,107.7107995,OPERATIONAL,4.4,10,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.24.1_1
Ayam Goreng Bacem RR,"Depan Centro Cell Sebelah cluster panyileukan regency, Komplek Bumi Panyileukan",-6.942071,107.7139561,OPERATIONAL,5,2,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.24.1_1
Sambal Tiga Rasa,"3P56+596, Jalan Terusan Panyileukan, Cipadung Kidul",-6.9422784,107.7109744,OPERATIONAL,5,2,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.24.1_1
Ayam Goreng NINI Panyileukan,"Komplek Bumi Panyileukan Jalan Raya Panyileukan No.3, Cipadung Kidul",-6.9413773,107.7142545,OPERATIONAL,4.8,4,"meal_takeaway, restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.24.1_1
Moms kitchen,Jalan Panutan IV No.8,-6.9217863,107.7042834,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.24.2_1
Gorengan Ibu Euis,Jalan Panutan Raya,-6.9221213,107.7045245,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.24.2_1
"Ayam Pejantan Bakar dan Goreng ""ABUD""","Jalan Panutan VI Komp. Panghegar Permai No.11 Rt/Rw. 07/09, Cipadung Kulon",-6.9219548,107.7039934,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.24.2_1
Soto Semarang Bu Pri,"Jalan Sukamaju No.32, Cipadung Kulon",-6.9216622,107.7057143,OPERATIONAL,4,3,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.24.2_1
KUY STEAK SUKAMAJU,"Jalan Sukamaju No.48, RT.03/RW.05, Cipadung Kulon",-6.9219202,107.7058477,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.24.2_1
Nasi Padang Minang Amijaya,"Jalan Sukamaju No.45A, Cipadung Kulon",-6.9217453,107.7059003,OPERATIONAL,4.1,10,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.24.2_1
Sate Taichan Enduls,"Jl. sukamaju, kelurahan No.30, Cipadung Kulon",-6.9216319,107.7059438,OPERATIONAL,3,2,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.24.2_1
Pempek al istiqomah sukamaju,"3PH4+496, Jalan Sukamaju, Cipadung Kulon",-6.9222193,107.7058753,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.24.2_1
Seblak Endolita Mama icha,"Jalan Sukamaju No.06, Cipadung Kulon",-6.9204566,107.7052016,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.24.2_1
Sari Pasanggrahan,"Jalan Pasanggrahan Raya No.13, Cipadung Kulon",-6.9230746,107.7040813,CLOSED_TEMPORARILY,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.24.2_1
Warung Sushi Danchi,"Jalan Pasanggrahan Raya No.11, Cipadung Kulon",-6.9230792,107.704045,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.24.2_1
Mie Akup,"3PH4+H9G, Cipadung Kulon",-6.921073,107.7059467,OPERATIONAL,5,5,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.24.2_1
