name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level,Kelurahan
"Balad Nyemil Antapani ( Agen Cuanki Hegar, Cireng Isi & Baso Tasik","Jalan Terusan Sindang Barang Gang. H. Sukin No.73A, Antapani Kulon",-6.9106013,107.6573845,CLOSED_TEMPORARILY,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Kulon
Es campur eyang,"Ruko cicaheum, Jalan Antapani Lama No.28",-6.9094476,107.657484,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Kulon
"Pecel Lele Putra Ronggolawe 06, ANTAPANI KULON","Jalan Antapani Lama No.28, Antapani Kulon",-6.909440999999999,107.6574981,OPERATIONAL,4.6,121,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Kulon
BASO MANG IING,"Jalan Antapani Lama No.39, Cicaheum",-6.909854799999999,107.6577312,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Kulon
RM. Ayam Goreng Ninit,"Jalan Cibatu Raya No.45, Antapani Tengah",-6.9171094,107.6639977,OPERATIONAL,4.4,38,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown,Antapani Tengah
Angkringan Jogja,"Jalan Cibatu Raya No.45, Antapani Tengah",-6.917040600000001,107.6640243,OPERATIONAL,4.6,91,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Tengah
RM Ikasari,"Jalan Cibatu Raya No.56, Antapani Tengah",-6.9167816,107.6639802,OPERATIONAL,5.0,2,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Tengah
Surabi Kuningan,"Jalan Kuningan Raya No.113, Antapani Tengah",-6.919285800000001,107.6632292,OPERATIONAL,4.2,45,"restaurant, food, point_of_interest, establishment",1,Antapani Tengah
RM Dapur Makassar,"Jl.Jendral Abdul Haris Nasution No.928 M, Ruko Bumi Mas Kencana, Antapani, Wetan,, Antapani, Antapani Wetan",-6.904094,107.663598,OPERATIONAL,4.1,7,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Wetan
Martabak babeh,"Jalan Terusan Jakarta No.313, Antapani Wetan",-6.9147431,107.665869,OPERATIONAL,4.7,25,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Wetan
PANASCUK,"Jalan Sindang Sari Utama No.3, Antapani Wetan",-6.909101199999999,107.6638341,OPERATIONAL,4.7,3,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Wetan
Steak & Burger Teras Yani's,"Jalan Sindang Sari I No.37, Antapani Wetan",-6.909062500000001,107.6642517,CLOSED_TEMPORARILY,4.8,48,"restaurant, food, point_of_interest, establishment",1,Antapani Wetan
Bakmicen,"3MR7+6QP, Antapani Wetan",-6.9094072,107.6644471,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Wetan
Sinte Team 26,"3MR7+6QP, Jl. Cigaurkuku Gg. Akiasmanta, Antapani Wetan",-6.9094072,107.6644471,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Wetan
Warung nasi kuning dan uduk mama riu,"Jalan Sindang Sari III gang mawar 3 No.29 rt 06/09, Antapani Wetan",-6.909573499999998,107.6637158,OPERATIONAL,5,5,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Wetan
Warung Seblak Umi Sindangsari,"Jalan Sindang Sari I Gang Melati 2 No.1, Antapani Wetan",-6.908948599999999,107.6644383,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Wetan
baso warkup,"No., Jalan Sindang Sari I No.50B, Antapani Wetan",-6.9098529,107.6641923,OPERATIONAL,4.7,29,"restaurant, food, point_of_interest, establishment",1,Antapani Wetan
Pempek HOT sinsar,"Jalan Sindang Sari I No.10, Antapani Wetan",-6.9098976,107.6640844,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Wetan
Warung Nasi Bu Yanti,"Jalan Sindang Sari I No.54, Antapani Wetan",-6.9086515,107.6641289,OPERATIONAL,5,5,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Wetan
Balok99 & Dimsum 99,"Jalan Bekamin No.11, Cikutra",-6.9085975,107.6642333,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Wetan
Nasi Goreng Afdhal Dan Nasi Goreng Paksu,"Jalan Sindang Sari III No.63, Antapani Wetan",-6.9086893,107.6634351,OPERATIONAL,4.5,8,"restaurant, food, point_of_interest, establishment",Unknown,Antapani Wetan
cemilan,Jalan Sindang Sari III Gang Mawar â¢ No.28,-6.9097146,107.663067,OPERATIONAL,Unknown,Unknown,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown,Antapani Wetan
Mr Iga (Steak Booth and Resto),"3HRR+P65, Jalan Rama, Arjuna",-6.908229899999999,107.5906202,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Arjuna
Bakmi Afang,"Jalan Pasir Kaliki No.71B, Arjuna",-6.9094384,107.5976087,OPERATIONAL,4.5,265,"restaurant, food, point_of_interest, establishment",Unknown,Arjuna
Rumah Soerabi,"Jalan Kesatriaan No.45N, Arjuna",-6.9118617,107.5976413,CLOSED_TEMPORARILY,4.7,56,"restaurant, food, point_of_interest, establishment",Unknown,Arjuna
Purnawarman Restaurant,"Lobby Level, Jalan HOS. Cokroaminoto No.41-43, Arjuna",-6.912866799999999,107.597428,OPERATIONAL,4.5,436,"restaurant, food, point_of_interest, establishment",2,Arjuna
Fresco Bandung,"Fresco Bandung, Jalan HOS. Cokroaminoto No.41-43, Arjuna",-6.912866799999999,107.597428,OPERATIONAL,4.6,107,"restaurant, food, point_of_interest, establishment",Unknown,Arjuna
Bau Duren Kopo,"3H8W+22W, Babakan Asih",-6.9348803,107.5950682,OPERATIONAL,4.5,11,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Asih
Pempek Faisal Sukaleueur lV,"Jl. Sukaleueur lV, Babakan Asih",-6.932425599999998,107.5948718,OPERATIONAL,4.4,23,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Asih
"Warung Teh Nina "" SUBUR JAYA ""","3H9V+3VQ, Babakan Asih",-6.9322876,107.5947365,OPERATIONAL,4.2,6,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Asih
Waroeng hamizan,Jalan Raya Kopo Jalan Sukaleueur No.34,-6.932160799999999,107.5947132,OPERATIONAL,5.0,1,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Asih
Martabak Aneka Rasa,"3H9V+4R2, Jalan Sukaleueur, Babakan Asih",-6.932230100000001,107.5945293,OPERATIONAL,4.3,10,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Asih
Saboga,"Jl. Merdeka No. 25-29 Babakan Ciamis Sumurbandung Bandung Jawa Barat, Babakan Ciamis",-6.907808100000001,107.6090042,OPERATIONAL,1.7,9,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Ciamis
Warung Nasi Gepuk Elis,"Jalan Aceh No.26, Babakan Ciamis",-6.9105674,107.6078896,OPERATIONAL,3.5,2,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Ciamis
Rumah Makan Kencana Sari,"Jalan Aceh No.45, Babakan Ciamis",-6.9102313,107.6084929,OPERATIONAL,4.5,2,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Ciamis
Waroeng Maranggi D'Sate's,"Jalan Aceh No.24, Babakan Ciamis",-6.9105602,107.6077012,OPERATIONAL,3.6,5,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Ciamis
Sate Kiloan Kang Raga,"Jalan Aceh No.51, Babakan Ciamis",-6.909926799999999,107.6098884,OPERATIONAL,4.3,49,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Ciamis
Ayam Penyet & Soto Ayam Asia,"3JR5+6QW, Jalan Purnawarman, Babakan Ciamis",-6.909384599999999,107.6094659,OPERATIONAL,4.2,106,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Ciamis
Richeese Factory,"Jalan Purnawarman No.11-13, Babakan Ciamis",-6.9089494,107.6091733,OPERATIONAL,4.4,1445,"restaurant, food, point_of_interest, establishment",2,Babakan Ciamis
Fortunate Coffee Bandung,"Jalan Kebon Sirih No.21A, Babakan Ciamis",-6.911641100000001,107.6059872,OPERATIONAL,4.5,530,"restaurant, food, store, point_of_interest, establishment",1,Babakan Ciamis
HokBen - BEC,"Bandung Electronic Center, Jalan Purnawarman No.7-11, Babakan Ciamis",-6.908783899999999,107.6091645,OPERATIONAL,3.6,270,"restaurant, food, point_of_interest, establishment",2,Babakan Ciamis
Panties Pizza Bandung BEC,"Electronic Center (BEC) UG AC -08, Jalan Purnawarman No.9 B, Babakan Ciamis",-6.9083285,107.6091785,OPERATIONAL,4.4,366,"restaurant, food, store, point_of_interest, establishment",2,Babakan Ciamis
Charada Korean BBQ,"Jalan Kebon Jukut No.25-29 kav 2, Babakan Ciamis",-6.914433099999999,107.6063722,OPERATIONAL,4.6,3737,"restaurant, food, point_of_interest, establishment",2,Babakan Ciamis
HokBen - Merdeka,"Jalan Merdeka No.47, Babakan Ciamis",-6.907598699999999,107.6103643,OPERATIONAL,4.3,1907,"restaurant, food, point_of_interest, establishment",2,Babakan Ciamis
Baso Teh Uneng,Babakan Ciparay,-6.938767299999999,107.5813594,OPERATIONAL,4.2,11,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Ciparay
Kedai AMC,"3H5M+72F, Jalan Pasar Induk Caringin, Babakan Ciparay",-6.941803900000001,107.5825523,OPERATIONAL,4.3,6,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Ciparay
Surabi Geulis & Bubble Drink,Babakan Ciparay,-6.940917000000001,107.576568,OPERATIONAL,4.7,83,"restaurant, food, point_of_interest, establishment",1,Babakan Ciparay
RM. :apau Baru,"Pasar Induk Caringin, Jalan, Babakan Ciparay",-6.943139199999999,107.5823978,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Ciparay
Ayam goreng & bakar asalam,"Jalan Soekarno - Hatta Gang Assalam No.53, Babakan Ciparay",-6.940833899999999,107.5796897,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Ciparay
Mie kocok&Baso Mamah Nissa,"Jalan Soekarno - Hatta Gang Assalam No.63, Babakan Ciparay",-6.9401325,107.5797596,OPERATIONAL,5,9,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Ciparay
SEBLAK NYANDU MAMA ABYAN,"Jalan Soekarno - Hatta Gang Assalam No.35, Babakan Ciparay",-6.940111299999999,107.5801874,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Ciparay
"Jln, Satria Raya 1","3H5H+JC5, Babakan Ciparay",-6.940989,107.5786238,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Ciparay
Chicken Mood,"Jalan Soekarno-Hatta Gang Sirojussalam 1 No.51, Babakan Ciparay",-6.9402339,107.5806703,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Ciparay
Resep Mamah Dedeh,"Jl.Soekarno Hatta Gg Elos Barat no.51 lama Rt 04/05, Babakan Ciparay",-6.9399633,107.5790953,OPERATIONAL,4.5,8,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Ciparay
Kedai pojok mina,"Jalan Caringin, Babakan",-6.9423867,107.5801212,OPERATIONAL,4.8,11,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Ciparay
Nasi Kuning Ma Ade,"Jalan Caringin Gang Lumbung 4 No.65, Babakan Ciparay",-6.942182499999999,107.5806012,OPERATIONAL,4.7,3,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Ciparay
Dapur Rina,"Jalan Caringin Gang Lumbung 4 No.21a, RT.03/RW.05, Babakan Ciparay",-6.942393699999999,107.5803806,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Ciparay
Dapur Kabay,"Jalan Caringin Gang Lumbung 4 No.93, Babakan Ciparay",-6.942377700000001,107.5804327,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Ciparay
Dapur El144,Gg. Assalam (Depan Mesjid Assobariah) RT 04/05,-6.9397302,107.5788281,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Ciparay
Kelapa 88,"3H4J+W23, Jalan Caringin Gang Lumbung 4, Babakan Ciparay",-6.9427484,107.5800444,OPERATIONAL,5,4,"cafe, restaurant, food, point_of_interest, establishment",Unknown,Babakan Ciparay
Kupat Tahu Assalam,"3H5J+WGG, Jalan Nasional III, Babakan Ciparay",-6.9401909,107.5813387,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Ciparay
Kantin Transport,"Jalan Soekarno-Hatta No.196, Babakan Ciparay",-6.939555100000001,107.5807595,OPERATIONAL,3.9,16,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Ciparay
Waroeng Fadlan&Fadli,"Jalan Caringin Gang Lumbung 4 No.28, Babakan Ciparay",-6.9428291,107.580159,CLOSED_TEMPORARILY,Unknown,Unknown,"restaurant, food, store, point_of_interest, establishment",Unknown,Babakan Ciparay
Angkringan Papuri,"Jalan Soekarno-Hatta No.785a, Babakan Penghulu",-6.937104,107.685277,OPERATIONAL,3.8,6,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Penghulu
Mamchick Fried Chicken,"Perm. Grand Pinus Regency Ruko no 10, Babakan Penghulu",-6.934841,107.6830434,OPERATIONAL,5,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown,Babakan Penghulu
Warung Nasi Menanti 1,Babakan Penghulu,-6.9373695,107.6898591,OPERATIONAL,4.8,34,"restaurant, food, point_of_interest, establishment",1,Babakan Penghulu
Hj. Zaenal,"no 88, Jl babakan penghulu No.rt 04 06",-6.9367531,107.6910902,OPERATIONAL,Unknown,Unknown,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown,Babakan Penghulu
Warnas Sarirasa Emak Sumedang,Jalan Soekarno-Hatta,-6.937465499999999,107.6890444,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Penghulu
Warung Nasi Sunda,Indonesia,-6.937393200000001,107.6884896,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Penghulu
Ramela Resto - Bandung,"Jalan Soekarno-Hatta No.791B, Babakan Penghulu",-6.936833,107.6879873,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Penghulu
SOTO AYAM MADURA,"Jalan Soekarno-Hatta No.791, Babakan Penghulu",-6.936814099999999,107.6879481,OPERATIONAL,3,2,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Penghulu
DE'CHICK Fried Chicken,"Jalan Soekarno-Hatta No.791, Babakan Penghulu",-6.936814099999999,107.6879481,OPERATIONAL,Unknown,Unknown,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown,Babakan Penghulu
Mie Ayam Baso Ceker,"Jalan Soekarno-Hatta No.791, Babakan Penghulu",-6.936814099999999,107.6879481,OPERATIONAL,4.3,15,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Penghulu
NASI GORENG MAS ADIT,"Jalan Soekarno-Hatta No.791, Babakan Penghulu",-6.936814099999999,107.6879481,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Penghulu
BASO Hot Jeletot,"Jalan Soekarno-Hatta No.791, Babakan Penghulu",-6.936814099999999,107.6879481,OPERATIONAL,4.4,11,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Penghulu
Bakso Wayang,"Jalan Soekarno-Hatta No.791, Cisaranten Wetan",-6.936814099999999,107.687948,OPERATIONAL,4.5,8,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Penghulu
Warung Nasi Rima,"Jalan Soekarno-Hatta No.714-710, Babakan Penghulu",-6.9375192,107.6883946,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Penghulu
Pecel lele putra mandiri 74,"Jalan Soekarno-Hatta, Babakan Penghulu",-6.9367953,107.6917852,OPERATIONAL,1,1,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Penghulu
Megatronics Engineering. CV,"Jalan Soekarno-Hatta No.805, Babakan Penghulu",-6.9368217,107.6919249,OPERATIONAL,3,1,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Penghulu
Seblak Geboy,"3M6Q+X5M, Jalan Soekarno-Hatta, Babakan Penghulu",-6.937543799999999,107.6879216,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Penghulu
Ayam Goreng Enak,"3M6Q+X5J, Jalan Soekarno-Hatta, Babakan Penghulu",-6.937532300000001,107.687887,OPERATIONAL,5,8,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown,Babakan Penghulu
RM Bungo Sumarak,"3M6Q+X4H, Jalan Rancameong, Babakan Penghulu",-6.937565499999999,107.6878626,OPERATIONAL,5,4,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Penghulu
Mie Baso Barokah 2,"Jalan Babakan Sari No.127, Babakan Sari",-6.9225001,107.651581,OPERATIONAL,4.1,61,"restaurant, food, point_of_interest, establishment",1,Babakan Sari
Warung Seblak Kayla,"Jalan Babakan Sari No.132, Babakan Sari",-6.9260704,107.6581543,OPERATIONAL,4.4,15,"restaurant, food, point_of_interest, establishment",1,Babakan Sari
"Ayam Goreng Bumbu Telor ""Teh Usi""","Jalan Kampus II No.5, Babakan Sari",-6.9228476,107.6506896,OPERATIONAL,4,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown,Babakan Sari
my kebab 94,"Jalan Babakan Sari No.11, Babakan Sari",-6.9227455,107.6510844,OPERATIONAL,5,5,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Sari
D3R crepes,"Jalan Babakan Sari No.111, RW.07, Babakan Sari",-6.9229398,107.6512413,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Sari
Dimsum Skuy Babakan Sari,"Jalan Babakan Sari No.113, Babakan Sari",-6.9224123,107.6508169,OPERATIONAL,2,2,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Sari
La Aroma Martabak Manis & Telor,"3MH2+29J, Jalan Babakan Sari, Babakan Sari",-6.9224161,107.6508892,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Sari
Mie kocok Teras katineung,Jalan Babakan Sari III RT.01/RW.09,-6.922376799999999,107.6506384,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Sari
Ayam Geprek & Sate Taichan Bang Jack,"Jalan Babakan Sari No.3, kebaktian",-6.922376700000001,107.6506385,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Sari
"Dimsum 2711, Babakan Sari","Jalan Babakan Sari No.107, Babakan Sari",-6.922376600000001,107.6506359,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Sari
KARAMAT KAFE Babakan Sari,"Prama, Jalan Babakan Sari Kelurahan No.111, Babakan Sari",-6.9223805,107.6508079,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Sari
Kedai Ikan AMANAH,"toserba prama, Jalan Babakan Sari No.111, Babakan Sari",-6.9223805,107.6508079,OPERATIONAL,5,5,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Sari
Depot Roti bakar idaman,"Jalan Babakan Sari No.117, RT.12/RW.11, Babakan Sari",-6.922442999999999,107.6510357,OPERATIONAL,Unknown,Unknown,"bakery, store, restaurant, food, point_of_interest, establishment",Unknown,Babakan Sari
Takoyaki Kenzie,"3MH2+2C8, Jalan Babakan Sari, Babakan Sari",-6.9224546,107.6510983,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Sari
Pujiyanto,"Jalan Hantap Raya No.22, Babakan Surabaya",-6.9142237,107.6477024,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Surabaya
Ayam bakar SBY,"Jalan Hantap Raya No.22, Babakan Surabaya",-6.914219099999999,107.6476796,OPERATIONAL,4.5,2,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Surabaya
Bakso Mas Ehe,"Hantap Raya, Gang Cangkring No.RT.03/12, Babakan Surabaya",-6.9139954,107.6480386,OPERATIONAL,4.2,61,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Surabaya
Warung nasi bu lilis,"3JPX+36F, Babakan Surabaya",-6.914789000000001,107.64807,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Surabaya
Seblak 81 Khas Garut,"Jalan Hantap Raya No.27, Babakan Surabaya",-6.9148722,107.6478326,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Surabaya
Roti Lumpurr,"Jalan Hantap Raya Gg.Gempol RT06RW14 No.kel, Babakan Surabaya",-6.914876199999998,107.6480445,OPERATIONAL,4.8,13,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Surabaya
Ayam Goang,"Jalan Terusan Jakarta No.24, Babakan Surabaya",-6.913386399999999,107.6480988,OPERATIONAL,5,6,"restaurant, food, point_of_interest, establishment",Unknown,Babakan Surabaya
