name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level,Kelurahan
MTsN 2 Kota Bandung,"Jalan Antapani Lama No.78, Antapani Kulon",-6.910048,107.6578677,OPERATIONAL,4.5,135,"school, point_of_interest, establishment",,Antapani Kulon
SDN 209 Antapani,"Jalan Antapani Lama No.1, Antapani Kulon",-6.910351299999999,107.6579522,OPERATIONAL,5.0,1,"primary_school, school, point_of_interest, establishment",,Antapani Kulon
TK Aisyiyah,"3MR5+C2P, Antapani Kulon",-6.908907800000001,107.6575894,OPERATIONAL,4.3,3,"school, point_of_interest, establishment",,Antapani Kulon
TK Generasi Unggul Antapani,"Jalan Cikajang Raya No.60, Antapani Tengah",-6.9192378,107.6657953,OPERATIONAL,5,21,"point_of_interest, school, establishment",,Antapani Tengah
Prime Smart Islamic Montessori,"Jalan Kuningan Raya No.7, Antapani Tengah",-6.914617399999998,107.6603472,OPERATIONAL,4.5,6,"point_of_interest, school, establishment",,Antapani Tengah
Mutiara Hati Islamic School,"3MH8+PJX, Jalan Terusan Jakarta Jalan Cikajang Raya RT.04/RW.22, Antapani Tengah",-6.9205288,107.6665957,OPERATIONAL,4.5,47,"point_of_interest, school, establishment",,Antapani Tengah
Sekolah Lare Alit,"Jalan Terusan Jakarta No.214, Antapani Tengah",-6.914473899999999,107.6629752,OPERATIONAL,4.9,22,"point_of_interest, school, establishment",,Antapani Tengah
TK Anak Ceria Antapani,"Jalan Puri Dago Mas Utara 1 No.Raya No.1, Antapani Tengah",-6.9231469,107.665285,OPERATIONAL,5,26,"point_of_interest, school, establishment",,Antapani Tengah
Bandung Robotic School,"Mall Lucky Square Lantai Dasar A3 No. 5, JL Terusan Jakarta, No. 2, Antapani Tengah",-6.9129135,107.6573751,OPERATIONAL,5,2,"school, point_of_interest, establishment",,Antapani Tengah
TK & PG Kids Alifa Antapani,"Jalan Subang No.53, Antapani Tengah",-6.915271299999998,107.6548649,OPERATIONAL,4.8,51,"point_of_interest, school, establishment",,Antapani Tengah
Sekolah Tahfidzul Qur'an Baitul Muttaqin Kampus 1,"Jalan Kuningan Raya No.107, Antapani Tengah",-6.919126299999999,107.6631753,OPERATIONAL,5,8,"school, point_of_interest, establishment",,Antapani Tengah
PAUD Tunas Harapan,"Jalan Cikajang XVII No.2, Antapani Tengah",-6.919296900000001,107.6635463,OPERATIONAL,Unknown,Unknown,"point_of_interest, school, establishment",,Antapani Tengah
Rumah Main Senusa,"Jalan Cikajang XV No.5, Antapani Tengah",-6.918072799999999,107.6633723,OPERATIONAL,5,3,"point_of_interest, school, establishment",,Antapani Tengah
Senior High School 23 Bandung,"Jalan Malangbong, Antapani Wetan",-6.9127478,107.6648985,OPERATIONAL,4.4,158,"school, point_of_interest, establishment",,Antapani Wetan
Growing Tree Daycare & Preschool,"Jawa Ba, Jalan Bumi Mas Kencana III No.2, Antapani Wetan",-6.904957,107.663576,OPERATIONAL,4.8,46,"school, health, point_of_interest, establishment",,Antapani Wetan
TAMAN BACA NURUL BAYTI,"Jalan Sindang Sari III No.4, RT.03/RW.09, Antapani Wetan",-6.910173699999999,107.6637375,OPERATIONAL,5,7,"school, point_of_interest, establishment",,Antapani Wetan
Taman Kanan-kanak Qur'an (TKQ) Riyadul Muttaqien,"Jalan Sindang Sari I No.7, Antapani Wetan",-6.910248,107.6642426,OPERATIONAL,4,1,"school, point_of_interest, establishment",,Antapani Wetan
TKQ-TPQ-MDTA RIYADLUL MUTTAQIN,"Jalan Sindang Sari III Gang Mesjid 3 No.5A, RT.03/RW.09, Antapani Wetan",-6.910164300000001,107.6635356,OPERATIONAL,5,49,"school, point_of_interest, establishment",,Antapani Wetan
"Lucu deh klo kita fotbar, yuk","Gang Melati 1 No.64, Antapani Wetan",-6.908585500000001,107.6651238,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Antapani Wetan
School SMP PGRI 8,"Jalan Sindang Sari I No.7, Antapani Wetan",-6.9081843,107.6647958,OPERATIONAL,3.9,8,"school, point_of_interest, establishment",,Antapani Wetan
Pos PAUD Intansari,"3MR7+RF6, Jalan Sindang Sari III, Antapani Wetan",-6.907964499999999,107.6636545,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Antapani Wetan
cape yaa? SEMANGAT!,"Jalan Sindangsari II Indah No.63, Antapani Wetan",-6.907820699999998,107.6639315,OPERATIONAL,5,2,"school, point_of_interest, establishment",,Antapani Wetan
Pondok Pesantren Muslimin,"Jalan Sindang Sari II No.35, Antapani Wetan",-6.9074065,107.6634776,OPERATIONAL,4.3,6,"school, point_of_interest, establishment",,Antapani Wetan
SDN 078 Sindangsari Antapani,"Jalan Sindang Sari I No.1, Antapani Wetan",-6.9061149,107.6645762,OPERATIONAL,4.9,15,"primary_school, school, point_of_interest, establishment",,Antapani Wetan
Sekolah Dasar Industri,"Jalan Industri Jalan Industri Dalam No.2, Arjuna",-6.9127283,107.5948052,OPERATIONAL,4.5,6,"primary_school, point_of_interest, school, establishment",,Arjuna
Bina Bakti Christian Middle School 2,"Jalan Bima No.1, Arjuna",-6.9121609,107.5954822,OPERATIONAL,4.8,52,"point_of_interest, school, establishment",,Arjuna
Sekolah Mode Linna Lea,"Jalan Semar No.32, Arjuna",-6.9081343,107.5971071,OPERATIONAL,4.0,6,"school, point_of_interest, establishment",,Arjuna
SMP Negeri 9 Bandung,"Jalan Semar No.5, Arjuna",-6.9089943,107.5969819,OPERATIONAL,4.3,136,"point_of_interest, school, establishment",,Arjuna
MI Al-Ishlah Kota Bandung,"Jl. KH Wahid Hasyim No. 224/198-A, Babakan Asih, Bojongloa Kaler, Babakan Asih",-6.9342728,107.5956323,OPERATIONAL,4.8,49,"primary_school, point_of_interest, school, establishment",,Babakan Asih
Sukaleueur 5,"3H9V+4RQ, Unnamed Road, Babakan Asih",-6.9321602,107.5946021,OPERATIONAL,5,6,"school, point_of_interest, establishment",,Babakan Asih
SD AL - FATAH,"Jalan Sukaleueur, Babakan Asih",-6.931921500000001,107.5947852,OPERATIONAL,4.4,9,"primary_school, point_of_interest, school, establishment",,Babakan Asih
PG DAN TK ISLAMIYAH,"3H9W+558, Babakan Asih",-6.932097,107.5954564,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Babakan Asih
Bimbel Islamiyah Learning Center,"Jalan Sukaleueur No.9, Babakan Asih",-6.932272,107.5955534,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Babakan Asih
SD Al-Qur'an Islamiyah,"Jalan Sukaleueur No.9, Babakan Asih",-6.932272,107.5955534,OPERATIONAL,5,7,"point_of_interest, school, establishment",,Babakan Asih
KOBER ASY-SYIFA,"Jalan Raya Kopo Jalan Sukaleueur No.124/198A, RT.003/RW.007, Babakan Asih",-6.931649800000001,107.5950603,OPERATIONAL,5,1,"point_of_interest, school, establishment",,Babakan Asih
RA PERSIS I,"Jalan Raya Kopo Gang H. Saidin No.482 198A, Babakan Asih",-6.933140099999999,107.59525,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Babakan Asih
Madrasah Al Ittihad,"3H9V+8JR, Jalan Sukaleueur, Babakan Asih",-6.931630699999999,107.5940289,OPERATIONAL,5,1,"school, point_of_interest, establishment",,Babakan Asih
Bumi Mak Euis,"Gang H. Saidin No.202 198 a, Babakan Asih",-6.9336688,107.5950896,OPERATIONAL,5,7,"point_of_interest, school, establishment",,Babakan Asih
DTA Ath-Thahiry,"Jalan Raya Kopo No.177, Babakan Asih",-6.933731199999999,107.5956101,OPERATIONAL,5,2,"point_of_interest, school, establishment",,Babakan Asih
""" S A U N G ""","Gang Maramis 1 No.61 198a, Babakan Asih",-6.9311933,107.5958733,OPERATIONAL,5,1,"point_of_interest, school, establishment",,Babakan Asih
TK Islam ISLAMIYAH,"Jl. Sukaleueur III No.100/198A, Babakan Asih",-6.932382,107.5964501,OPERATIONAL,5,5,"school, point_of_interest, establishment",,Babakan Asih
MI Bahrul Ihsan,"196A, Jalan Babakan Tarogong No.477, Babakan Asih",-6.9334438,107.5933777,OPERATIONAL,4,5,"primary_school, point_of_interest, school, establishment",,Babakan Asih
Yayasan Tadika Puri,"JL. Sanggar Kencana 6 No. 11, Perum Sanggar Hurip, Babakan Ciamis",-6.9148644,107.6082421,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Babakan Ciamis
Vocational High School 1 Bandung,"Jalan Wastukencana No.3, Babakan Ciamis",-6.913156399999999,107.6088987,OPERATIONAL,4.8,564,"school, point_of_interest, establishment",,Babakan Ciamis
Pelatihan Pendidikan Pramugari - Garuda Sejahtera Mandiri,"Gedung A2B, Jalan Merdeka No.33, Babakan Ciamis",-6.908499000000001,107.6104496,OPERATIONAL,5,1,"school, point_of_interest, establishment",,Babakan Ciamis
Madrasah Ash-Shaff,"Jalan Babakan Ciamis No.205 5-B, Babakan Ciamis",-6.908249,107.606921,OPERATIONAL,5,8,"school, point_of_interest, establishment",,Babakan Ciamis
SLB Negeri Cicendo Kota Bandung,"Jalan Cicendo No.2, Babakan Ciamis",-6.9109705,107.6043748,OPERATIONAL,4.3,27,"school, point_of_interest, establishment",,Babakan Ciamis
GANESHA OPERATION UNIT PW36,Jalan Purnawarman No.36 B,-6.907565399999999,107.6095412,OPERATIONAL,4.7,480,"school, point_of_interest, establishment",,Babakan Ciamis
PAUD PERMATA CENDIKIA,"Jalan Babakan Ciamis No.57 b, Babakan Ciamis",-6.911171999999999,107.6067358,OPERATIONAL,5,3,"school, point_of_interest, establishment",,Babakan Ciamis
Sequoia School - SD Nasional Plus,"Dekat Balai Kota, Jalan Aceh No.6, Babakan Ciamis",-6.910456000000002,107.6061871,OPERATIONAL,4.7,48,"primary_school, school, point_of_interest, establishment",,Babakan Ciamis
Santa Angela Bandung,"Jl. Merdeka No.24, Babakan Ciamis, Kec. Sumur Bandung, Jawa",-6.9127256,107.6108886,OPERATIONAL,4.5,210,"school, point_of_interest, establishment",,Babakan Ciamis
TKA /TPA Baitusy Syuhada,"Jalan Caringin No.126, Babakan Ciparay",-6.9449652,107.5820498,OPERATIONAL,5,2,"school, point_of_interest, establishment",,Babakan Ciparay
Rumah Musik Zee,"Perum Sumber Sari Indah, Jalan Sumber Mukti No.22-11, Babakan Ciparay",-6.937406800000001,107.5735554,OPERATIONAL,4.7,23,"school, store, point_of_interest, establishment",,Babakan Ciparay
PAUD EL ZAARA,"Jalan Caringin Gang Lumbung 4 No.88, Babakan Ciparay",-6.942319499999999,107.5801452,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Babakan Ciparay
Yt Chanel Musik & Otomotif,"Jalan Caringin Gang Cikungkurak No.40, Babakan Ciparay",-6.9426303,107.5794449,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Babakan Ciparay
DTA NURUL HUDA,"3H4J+V28, Jalan Caringin Gang Lumbung 4",-6.9428277,107.5800763,OPERATIONAL,5,2,"school, point_of_interest, establishment",,Babakan Ciparay
Rumah Ibu Nina,"Jalan Soekarno - Hatta Gang Assalam No.26, Babakan Ciparay",-6.939707499999999,107.578583,OPERATIONAL,5,1,"primary_school, school, point_of_interest, establishment",,Babakan Ciparay
Rumah Cerdas Sunshine 99 (RCS99),"Jalan Soekarno - Hatta Gang Elos Barat RT 04/05, Babakan Ciparay",-6.939661900000001,107.5786085,OPERATIONAL,5,4,"school, point_of_interest, establishment",,Babakan Ciparay
PKBM RESIDIVIST,"Jalan Caringin Gang Cikungkurak No.54, Babakan Ciparay",-6.9431121,107.5802554,OPERATIONAL,5,1,"school, point_of_interest, establishment",,Babakan Ciparay
Madrasah MQ LABAZ,"3H6H+638, Jalan Soekarno - Hatta Gang Assalam, Babakan Ciparay",-6.939464599999999,107.5777119,OPERATIONAL,5,2,"school, point_of_interest, establishment",,Babakan Ciparay
R.A Al-Hidayah,"No.96, R.A Al- Hidayah, Jalan Caringin Gang Cikungkurak, Babakan Ciparay",-6.941603199999999,107.5768918,CLOSED_TEMPORARILY,5,11,"school, point_of_interest, establishment",,Babakan Ciparay
RA/BA/TA Al Hidayah,"Jalan Caringin No.185, Babakan Ciparay",-6.9440651,107.5788263,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Babakan Ciparay
State Primary School Babakan Ciparay 1,"Jalan Caringin No.150, Babakan Ciparay",-6.944254699999999,107.5803513,OPERATIONAL,4.3,29,"primary_school, school, point_of_interest, establishment",,Babakan Ciparay
KB Insan Shahaza,"3H5G+3MG, Gang Cikungkurak",-6.9423205,107.5767028,OPERATIONAL,3.5,2,"school, point_of_interest, establishment",,Babakan Ciparay
SDN 213 Babakan Ciparay,"Jalan Sumber Endah No.74, Babakan Ciparay",-6.9402097,107.57647,OPERATIONAL,4.2,26,"primary_school, school, point_of_interest, establishment",,Babakan Ciparay
RA/BA/TA Al Amanah,"Jalan Caringin No.173, Babakan Ciparay",-6.9444722,107.5793845,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Babakan Ciparay
RA/BA/TA Al Wakaf,"Jalan Caringin No.141a, Babakan Ciparay",-6.944666899999999,107.580773,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Babakan Ciparay
TK & PAUD Holis Permai,"Jl. Caringin, Babakan Ciparay, Blok Beas RT08 RW06, Babakan Ciparay",-6.9400979,107.576104,OPERATIONAL,4.5,2,"school, point_of_interest, establishment",,Babakan Ciparay
Menjaga Kebersihan Di Lingkungan Sekolah,"Jalan Soekarno-Hatta No.203, Babakan Ciparay",-6.9420578,107.583577,OPERATIONAL,3.7,3,"school, point_of_interest, establishment",,Babakan Ciparay
SDN Cisaranten Wetan 2,"Jalan Gedebage Selatan No.16, Babakan Penghulu",-6.941075799999999,107.6916077,OPERATIONAL,5,1,"primary_school, school, point_of_interest, establishment",,Babakan Penghulu
TK Plus Aisyahmudin,"Jalan Rancameong, Babakan Penghulu",-6.9392617,107.6891951,OPERATIONAL,5,4,"school, point_of_interest, establishment",,Babakan Penghulu
TK Asy Syifa,"Jalan Rancameong No.Kel, RT.02/RW.05, Babakan Penghulu",-6.9398381,107.6900894,OPERATIONAL,5,6,"school, point_of_interest, establishment",,Babakan Penghulu
POS PAUD MUTIARA INSAN,"Jalan Bebedahan No.171 Kel, RT.03/RW.03, Babakan Penghulu",-6.938970699999999,107.6865798,OPERATIONAL,5,2,"school, point_of_interest, establishment",,Babakan Penghulu
SD Negeri Gedebage,"Sd Negeri Gedebage, Babakan Penghulu",-6.940663,107.691555,OPERATIONAL,5,3,"primary_school, school, point_of_interest, establishment",,Babakan Penghulu
SMP PGRI 9 Gedebage,"Jalan Gedebage Selatan No.17, Babakan Penghulu",-6.940792,107.691684,OPERATIONAL,5,5,"school, point_of_interest, establishment",,Babakan Penghulu
SDN 052 Cisaranten Wetan Gedebage,"Jalan Gedebage Selatan No.17, Babakan Penghulu",-6.9407808,107.6917795,OPERATIONAL,5,2,"primary_school, school, point_of_interest, establishment",,Babakan Penghulu
PAUD Rumah Pelangi,"Jalan Soekarno-Hatta No.702, Babakan Penghulu",-6.937869399999999,107.6839513,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Babakan Penghulu
Bing Music Indonesia (Sekolah Musik),Jalan Pinus Raya No.80,-6.9340388,107.6836755,OPERATIONAL,4.9,12,"school, store, point_of_interest, establishment",,Babakan Penghulu
Montessori Way Play House,"Jalan Pinus Raya No.27, Babakan Penghulu",-6.933960799999999,107.6834269,OPERATIONAL,5,7,"school, point_of_interest, establishment",,Babakan Penghulu
TK/SD Baiturrahmah,"3M9P+M4W, Babakan Penghulu",-6.9307566,107.6853369,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Babakan Penghulu
Sekolah Islam Karakter Baiturrahmah,"Grand Pinus Regency, Jalan Pinus VII, Babakan Penghulu",-6.9307403,107.6850127,OPERATIONAL,5,9,"primary_school, school, point_of_interest, establishment",,Babakan Penghulu
STIE Dharma Negara,"Jalan Babakan Sari No.68, Babakan Sari",-6.9224248,107.649894,OPERATIONAL,4.4,73,"university, accounting, finance, point_of_interest, school, establishment",,Babakan Sari
SMK Kencana,"Jalan Babakan Surabaya No.44, Babakan Sari",-6.918768,107.64783,OPERATIONAL,4.5,103,"point_of_interest, school, establishment",,Babakan Sari
SMA Plus Muthahhari Bandung,"Jalan Kampus II No.13-17, Babakan Sari",-6.923273599999999,107.6505996,OPERATIONAL,4.6,68,"point_of_interest, school, establishment",,Babakan Sari
Senior High School 16 Bandung,"Jalan Mekarsari No.81, Babakan Sari",-6.926469099999999,107.6568007,OPERATIONAL,4,169,"point_of_interest, school, establishment",,Babakan Sari
TK Az Zahra,"Jalan Kampus II No.4, Babakan Sari",-6.922745199999999,107.6505076,OPERATIONAL,4.3,7,"point_of_interest, school, establishment",,Babakan Sari
PAUD Arrodhiyah,Jalan Kampus VII No.19,-6.9231981,107.6517839,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Babakan Sari
TK 129,"Jalan Babakan Sari No.129, Babakan Sari",-6.9225502,107.6517879,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Babakan Sari
GAV International School,"Jalan Babakan Sari No.68, Babakan Sari",-6.924031800000002,107.6496084,OPERATIONAL,4.8,5,"school, point_of_interest, establishment",,Babakan Sari
SMA Bina Dharma 2,"3MG2+WH7, Jalan Babakan Sari No.131, Babakan Sari",-6.922532199999999,107.6520992,OPERATIONAL,4.3,42,"point_of_interest, school, establishment",,Babakan Sari
TK Global Cendekia School,"Jalan Kampus I No.39, RT.01/RW.08, Babakan Sari",-6.924606,107.6498431,OPERATIONAL,5,2,"school, point_of_interest, establishment",,Babakan Sari
Little Smart - Antapani ( Day Care - Pre School/Playgroup - Kindergarten ),"V No.11 & 34, Jalan Atlas Raya, Babakan Surabaya",-6.915858600000001,107.6474564,OPERATIONAL,5,2,"school, point_of_interest, establishment",,Babakan Surabaya
LPTT Bandung,"Jalan Atlas V No.8, RW.07, Babakan Surabaya",-6.916073,107.6467888,OPERATIONAL,5,3,"school, point_of_interest, establishment",,Babakan Surabaya
ASTREA BANDUNG KOTA,"Jalan Hantap Raya No.27, RT.06/RW.14, Babakan Surabaya",-6.9149201,107.6478928,OPERATIONAL,4.7,18,"cafe, school, store, food, point_of_interest, establishment",,Babakan Surabaya
SLB B Karya Bhakti,"3JPX+2F2, Gang Dadap, Babakan Surabaya",-6.914991400000001,107.6486515,OPERATIONAL,5,3,"school, point_of_interest, establishment",,Babakan Surabaya
Raudhatul Athfal RA / TK Assajidin,"3JMX+P98, Babakan Surabaya",-6.9157243,107.6484468,OPERATIONAL,4.9,7,"school, point_of_interest, establishment",,Babakan Surabaya
workshop sablon doni,Babakan Surabaya,-6.915443299999999,107.6497603,OPERATIONAL,4.9,9,"clothing_store, school, store, health, point_of_interest, establishment",,Babakan Surabaya
Rumah kompos,"3JQW+5HP, Jalan Babakan Hantap, Babakan Surabaya",-6.9120442,107.6464676,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Babakan Surabaya
YP Vocational High School. 17 Bandung,"3JMW+9H8, Jalan Babakan Surabaya, Babakan Surabaya",-6.916588699999999,107.6464538,OPERATIONAL,4.4,16,"secondary_school, school, point_of_interest, establishment",,Babakan Surabaya
PAUD Atlas Flamboyan,"3JJX+RJG, Babakan Surabaya",-6.917928000000001,107.6490694,OPERATIONAL,5,1,"school, point_of_interest, establishment",,Babakan Surabaya
SMP Negeri 33,"Jalan Babakan Tarogong, Babakan Tarogong",-6.9282637,107.589627,OPERATIONAL,4.5,106,"school, point_of_interest, establishment",,Babakan Tarogong
TKQ Riyadhul Jannah,"3HCR+X98, Jalan Raden Dewi, Babakan Tarogong",-6.927594699999999,107.59096,OPERATIONAL,5,2,"school, point_of_interest, establishment",,Babakan Tarogong
PAUD BU IMAS,"Gang H. Umar Gang Raden Dewi V No.77, Babakan Tarogong",-6.9275365,107.5917161,OPERATIONAL,5,1,"school, point_of_interest, establishment",,Babakan Tarogong
TK Al-Barru,"Jalan Terusan Pasirkoja No.51A, Babakan Tarogong",-6.9281949,107.5913428,OPERATIONAL,3.7,3,"school, point_of_interest, establishment",,Babakan Tarogong
Madrasah Sofa As - Salman,"3HCR+PPP, Babakan Tarogong",-6.928159199999999,107.5918211,OPERATIONAL,5,2,"school, point_of_interest, establishment",,Babakan Tarogong
UNCREV,"Gang Raden Dewi 6 No.42b, Babakan Tarogong",-6.9281359,107.5918482,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Babakan Tarogong
Kelas 9b Angkatan 2022-2023,"3HCR+R4G, Gang Anom, Babakan Tarogong",-6.9280724,107.5902979,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Babakan Tarogong
SPMAA BANDUNG,"3HFR+7RG, Gang Raden Dewi 3, Babakan Tarogong",-6.9268125,107.5920936,OPERATIONAL,5,2,"school, point_of_interest, establishment",,Babakan Tarogong
Madrasah Riyyadul Atfal,"3HCR+FMM, Jl. Bababkan Irigasi, Babakan Tarogong, Bojong Loa Kaler, Babakan Tarogong",-6.928777899999999,107.5916598,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Babakan Tarogong
Madrasah Husnul Khotimah,Babakan Tarogong,-6.928380199999999,107.5928597,OPERATIONAL,5,3,"school, point_of_interest, establishment",,Babakan Tarogong
Majelis ta'lim daarul 'ilmi,"No rumah 11A, Kode pos 40232,RT02 RW05, Gang Laksana, Babakan Tarogong",-6.929726800000001,107.5905165,OPERATIONAL,5,4,"school, point_of_interest, establishment",,Babakan Tarogong
PAUD MISBAHUSSALAM BANDUNG,"Gang AMD V No.9, Babakan Tarogong",-6.928361299999999,107.5936351,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Babakan Tarogong
PAUD Calakan,"3HFV+8GC, Jalan Terusan Pasirkoja, Babakan Tarogong",-6.926697699999998,107.5937686,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",,Babakan Tarogong
BolaBolaBenang,"Jalan Sumber Mekar Perumahan Sumbersari Indah No.6 kav.1-3, Babakan",-6.9328226,107.5744006,OPERATIONAL,4.7,30,"store, school, point_of_interest, establishment",,Babakan
